i,lid_10,rc_10,exp_20|10,distcomp,dataset,workload_description,eps_q0.25,eps_q0.5,eps_q0.75
79,97.0451931474714,1.3470634,1.0059938,0.204279,sald-128-1m,File(sald-128-1k),1.0,1.0,1.0
80,38.377463961609514,2.188512,1.0169004,0.009147,sald-128-1m,File(sald-128-1k),0.101361,0.816954,1.0
81,23.677722209534757,3.1761632,1.0390483,0.009557,sald-128-1m,File(sald-128-1k),0.004582,0.072231,0.310632
82,40.528280622233645,4.0458674,1.016697,0.003069,sald-128-1m,File(sald-128-1k),0.005168,0.028761,0.147915
83,23.48482007614681,8.210822,1.1104739,0.005423,sald-128-1m,File(sald-128-1k),0.00032,0.00179,0.005108
84,26.483540864973595,2.6567729,1.0335411,0.003149,sald-128-1m,File(sald-128-1k),0.012787,0.240487,0.869643
85,79.1014066960821,1.3160361,1.0075023,0.173525,sald-128-1m,File(sald-128-1k),1.0,1.0,1.0
86,77.80724733428644,2.4300342,1.0183502,0.006804,sald-128-1m,File(sald-128-1k),0.053546,0.570509,0.99994
87,22.62141551090312,2.5273337,1.0220834,0.010189,sald-128-1m,File(sald-128-1k),0.030347,0.346998,0.87586
88,10.968738484420118,1.9826045,1.0368768,0.00387,sald-128-1m,File(sald-128-1k),0.001525,0.502803,0.999941
89,7.428439632765362,5.842911,1.0719295,0.003399,sald-128-1m,File(sald-128-1k),1e-05,0.000101,0.000471
90,31.086921718975297,1.8683845,1.0292646,0.013278,sald-128-1m,File(sald-128-1k),0.247467,0.99996,1.0
91,40.42193059779649,1.7720857,1.0153913,0.031954,sald-128-1m,File(sald-128-1k),0.247085,1.0,1.0
92,54.154378501211255,2.2580736,1.0199515,0.020436,sald-128-1m,File(sald-128-1k),0.104385,0.672173,1.0
93,34.702716495711414,2.0375292,1.0262107,0.005757,sald-128-1m,File(sald-128-1k),0.099055,0.87841,1.0
94,28.944637919078172,1.6094921,1.0231197,0.013311,sald-128-1m,File(sald-128-1k),0.603772,1.0,1.0
95,17.48420906731969,2.3297458,1.0153011,0.024138,sald-128-1m,File(sald-128-1k),0.031203,0.474868,0.963302
96,28.81979998007359,2.645746,1.024139,0.002889,sald-128-1m,File(sald-128-1k),0.014639,0.272886,0.833767
97,23.558352980253424,1.8455721,1.029233,0.02537,sald-128-1m,File(sald-128-1k),0.102283,0.996686,1.0
98,27.83271838728646,2.067975,1.0207723,0.025836,sald-128-1m,File(sald-128-1k),0.036946,0.807402,1.0
99,170.8903456466857,1.3191496,1.0131252,0.142677,sald-128-1m,File(sald-128-1k),1.0,1.0,1.0
100,27.789081737519904,2.0344722,1.022706,0.020815,sald-128-1m,File(sald-128-1k),0.113923,0.853674,1.0
101,22.290483362703807,1.899412,1.0197233,0.004974,sald-128-1m,File(sald-128-1k),0.09345,0.983178,1.0
102,52.66375214879108,3.5893316,1.0293872,0.007943,sald-128-1m,File(sald-128-1k),0.00883,0.076563,0.2301
103,24.684268149769746,3.4338727,1.0291263,0.00272,sald-128-1m,File(sald-128-1k),0.002841,0.04479,0.269209
104,31.314678115666172,2.3845463,1.0434397,0.003762,sald-128-1m,File(sald-128-1k),0.006195,0.498768,1.0
105,13.69510620366291,2.7295315,1.0426713,0.017698,sald-128-1m,File(sald-128-1k),0.001973,0.093489,0.55232
106,38.36254190168263,1.7603197,1.0132132,0.043146,sald-128-1m,File(sald-128-1k),0.356526,0.999999,1.0
107,15.388114148757998,2.0703573,1.0385574,0.008104,sald-128-1m,File(sald-128-1k),0.037352,0.645918,0.999982
108,16.26258931787041,3.866376,1.0760717,0.007458,sald-128-1m,File(sald-128-1k),0.000262,0.005627,0.061228
109,37.23511273924347,2.1689248,1.0129657,0.009535,sald-128-1m,File(sald-128-1k),0.082429,0.771891,1.0
110,54.55836245721585,1.5936604,1.0112946,0.062704,sald-128-1m,File(sald-128-1k),0.724655,1.0,1.0
111,30.777288169032005,2.136657,1.027807,0.010172,sald-128-1m,File(sald-128-1k),0.058653,0.814269,1.0
112,37.02498588110436,2.5888119,1.0437794,0.003931,sald-128-1m,File(sald-128-1k),0.019082,0.343351,0.971846
113,21.716882906596023,1.6282035,1.039543,0.05691,sald-128-1m,File(sald-128-1k),0.284457,1.0,1.0
114,95.01948620439698,1.3808304,1.0074896,0.155125,sald-128-1m,File(sald-128-1k),1.0,1.0,1.0
115,93.3668407846509,1.2472394,1.0110692,0.117157,sald-128-1m,File(sald-128-1k),1.0,1.0,1.0
116,43.01969588433805,1.9772117,1.0158222,0.02324,sald-128-1m,File(sald-128-1k),0.096742,0.996094,1.0
117,35.29583546940321,1.7982622,1.0157801,0.033526,sald-128-1m,File(sald-128-1k),0.283387,1.0,1.0
118,17.734493316941883,3.6636577,1.066191,0.007163,sald-128-1m,File(sald-128-1k),0.002397,0.027526,0.160431
119,64.28939977255654,3.0095382,1.0205104,0.00495,sald-128-1m,File(sald-128-1k),0.014738,0.188269,0.726438
120,7.114237265607159,3.7033064,1.0323802,0.002737,sald-128-1m,File(sald-128-1k),0.000247,0.006335,0.046913
121,66.17434983167706,1.8880086,1.0223145,0.008637,sald-128-1m,File(sald-128-1k),0.199863,1.0,1.0
122,36.42491389638355,2.1423047,1.0229279,0.02136,sald-128-1m,File(sald-128-1k),0.070917,0.837969,1.0
123,19.4237986174166,3.2540836,1.0443246,0.002407,sald-128-1m,File(sald-128-1k),0.002353,0.037543,0.294182
124,20.30177147993539,3.978646,1.0419588,0.013231,sald-128-1m,File(sald-128-1k),0.002077,0.018094,0.073546
125,98.65283419712766,1.2614201,1.0074214,0.146256,sald-128-1m,File(sald-128-1k),1.0,1.0,1.0
126,18.07247168889508,2.6660454,1.0677527,0.011204,sald-128-1m,File(sald-128-1k),0.000921,0.089182,0.911038
127,33.55305327453817,1.9366534,1.0444201,0.06213,sald-128-1m,File(sald-128-1k),0.042983,0.943791,1.0
128,32.80415912995006,2.4800866,1.0180216,0.006182,sald-128-1m,File(sald-128-1k),0.033591,0.500298,0.990655
129,60.5411955032059,1.4650474,1.0228667,0.080878,sald-128-1m,File(sald-128-1k),0.971979,1.0,1.0
130,63.25796629321032,3.2974398,1.0139682,0.009206,sald-128-1m,File(sald-128-1k),0.010533,0.090982,0.512041
131,32.87533516744656,2.7442646,1.0359726,0.002917,sald-128-1m,File(sald-128-1k),0.005861,0.192187,0.972144
132,15.303115568972258,2.4038203,1.0307562,0.006308,sald-128-1m,File(sald-128-1k),0.003602,0.213141,0.759418
133,30.36800052656695,2.408739,1.0407428,0.040369,sald-128-1m,File(sald-128-1k),0.005656,0.342912,0.982978
